epoch,train_loss,train_acc,val_loss,val_acc,test_acc
152,0.32653115896715057,0.8044444444444444,0.2599189803004265,0.944,0.706
153,0.322013686514563,0.802,0.24549008160829544,0.946,0.732
154,0.35022633026043576,0.7973333333333333,0.2647092416882515,0.932,0.704
155,0.32306628508700264,0.8006666666666666,0.26649297028779984,0.936,0.702
156,0.3218319175971879,0.8031111111111111,0.24986404925584793,0.942,0.73
157,0.3280615301595794,0.8026666666666666,0.2713898867368698,0.934,0.708
158,0.3146927050418324,0.8031111111111111,0.24773554876446724,0.942,0.706
159,0.31870095514588886,0.802,0.25689052045345306,0.936,0.726
160,0.3224167223605845,0.8024444444444444,0.26098449900746346,0.94,0.7
161,0.31959689367148614,0.7995555555555556,0.2371724396944046,0.948,0.73
162,0.31507445830437875,0.8035555555555556,0.2564244866371155,0.95,0.7
163,0.307798912955655,0.8042222222222222,0.2469397746026516,0.946,0.706
164,0.32797316792938447,0.7997777777777778,0.2583788000047207,0.94,0.72
165,0.3076745346188545,0.8075555555555556,0.24714690446853638,0.942,0.718
166,0.3057058196928766,0.8046666666666666,0.24666375294327736,0.936,0.716
167,0.30551057929793995,0.8037777777777778,0.2528359591960907,0.942,0.702
168,0.2945537260837025,0.8084444444444444,0.25039754435420036,0.94,0.698
169,0.3108714943130811,0.8064444444444444,0.2526324540376663,0.944,0.698
170,0.31386929833226734,0.8068888888888889,0.24416179209947586,0.94,0.712
171,0.32280149435003597,0.8026666666666666,0.2429634928703308,0.94,0.716
172,0.3058118803633584,0.8073333333333333,0.25511710718274117,0.942,0.704
173,0.2889867511888345,0.8086666666666666,0.23772917687892914,0.944,0.718
174,0.29940000797311467,0.8082222222222222,0.25406530499458313,0.942,0.694
175,0.2975971806380484,0.8066666666666666,0.2563853822648525,0.936,0.71
176,0.2999732705454032,0.8048888888888889,0.25325949862599373,0.944,0.69
177,0.293420009728935,0.8071111111111111,0.23664477467536926,0.946,0.714
178,0.3048908958832423,0.806,0.251202717423439,0.936,0.706
179,0.2910131965246465,0.8122222222222222,0.2560965195298195,0.944,0.718
180,0.292945539785756,0.8097777777777778,0.24047178775072098,0.95,0.712
181,0.2961373846564028,0.8073333333333333,0.25643499940633774,0.942,0.708
182,0.2951421116789182,0.8086666666666666,0.24599193036556244,0.95,0.712
183,0.28573458310630584,0.8113333333333334,0.2569163553416729,0.944,0.698
184,0.28183239781194264,0.8126666666666666,0.2436869814991951,0.944,0.708
185,0.2848457549181249,0.8117777777777778,0.24111617729067802,0.942,0.722
186,0.28122299785415333,0.8122222222222222,0.2593914270401001,0.946,0.69
187,0.27922270488407874,0.8126666666666666,0.24164580181241035,0.94,0.704
188,0.2920472001036008,0.8108888888888889,0.2530185468494892,0.944,0.722
189,0.28914204115668934,0.8111111111111111,0.2515578679740429,0.944,0.702
190,0.2734851932360066,0.8117777777777778,0.24847853928804398,0.942,0.716
191,0.2747228530546029,0.8148888888888889,0.2541515752673149,0.942,0.694
192,0.27447839164071614,0.8146666666666667,0.26712649315595627,0.932,0.696
193,0.2781010530889034,0.8131111111111111,0.26009509712457657,0.938,0.708
194,0.2818579831057125,0.814,0.24248110502958298,0.952,0.72
195,0.2773847526146306,0.812,0.24289663136005402,0.944,0.714
196,0.2753262056244744,0.8146666666666667,0.2506886012852192,0.94,0.69
197,0.26759924987951916,0.8182222222222222,0.2606590539216995,0.932,0.7
198,0.27216145644585293,0.8164444444444444,0.2573443353176117,0.934,0.71
199,0.2665635504656368,0.8175555555555556,0.2640518769621849,0.934,0.69
